Spirit,Stage,Aspect(s),Learn Level,Move,Move Aspect,Category,Power,Effect,Source,Animation,Animation Source
Leaflark,Stage 2,Grass/Flying,25,Root Bind,Grass,Status,0,Sharply lowers Speed,own,"Green beam, drains HP",reuses: Life Siphon
Floravian,Final A,Grass/Fairy,1,Coin Toss,Normal,Phys,40,—,inherited from Frondove,Coins scatter,original
Floravian,Final A,Grass/Fairy,1,Life Siphon,Grass,Spec,40,Heals user,inherited from Frondove,"Green beam, drains HP",original
Floravian,Final A,Grass/Fairy,5,Star Shower,Normal,Phys,60,None (never misses),inherited from Frondove,Yellow stars fly,original
Floravian,Final A,Grass/Fairy,9,Leaf Cutter,Grass,Spec,55,High crit rate,inherited from Frondove,Slash lines,reuses: Slash Strike
Floravian,Final A,Grass/Fairy,13,Spore Cloud,Grass,Status,0,Puts target to sleep,inherited from Frondove,Green sparkle overlay,reuses: Warm Recovery
Floravian,Final A,Grass/Fairy,17,Skyward Dive,Flying,Phys,70,None (2-turn),inherited from Leaflark,"Flies off, then dives",original
Floravian,Final A,Grass/Fairy,21,Bramble Rend,Grass,Spec,80,—,inherited from Leaflark,"Charge, then blade slash",reuses: Wind Slicer
Floravian,Final A,Grass/Fairy,25,Root Bind,Grass,Status,0,Sharply lowers Speed,inherited from Leaflark,"Green beam, drains HP",reuses: Life Siphon
Floravian,Final A,Grass/Fairy,30,Lunar Burst,Fairy,Spec,95,Lowers Sp. Atk (30%),own,Pink lunar orb bursts,original
Floravian,Final A,Grass/Fairy,34,Blade Ritual,Normal,Status,0,Raises Attack (self),own,Spinning blades around user,original
Floravian,Final A,Grass/Fairy,38,Sunray Blast,Grass,Spec,120,None (2-turn),own,"Charge glow, then beam",original
Thornraven,Final B,Grass/Dark,1,Coin Toss,Normal,Phys,40,—,inherited from Frondove,Coins scatter,original
Thornraven,Final B,Grass/Dark,1,Life Siphon,Grass,Spec,40,Heals user,inherited from Frondove,"Green beam, drains HP",original
Thornraven,Final B,Grass/Dark,5,Star Shower,Normal,Phys,60,None (never misses),inherited from Frondove,Yellow stars fly,original
Thornraven,Final B,Grass/Dark,9,Leaf Cutter,Grass,Spec,55,High crit rate,inherited from Frondove,Slash lines,reuses: Slash Strike
Thornraven,Final B,Grass/Dark,13,Spore Cloud,Grass,Status,0,Puts target to sleep,inherited from Frondove,Green sparkle overlay,reuses: Warm Recovery
Thornraven,Final B,Grass/Dark,17,Skyward Dive,Flying,Phys,70,None (2-turn),inherited from Leaflark,"Flies off, then dives",original
Thornraven,Final B,Grass/Dark,21,Bramble Rend,Grass,Spec,80,—,inherited from Leaflark,"Charge, then blade slash",reuses: Wind Slicer
Thornraven,Final B,Grass/Dark,25,Root Bind,Grass,Status,0,Sharply lowers Speed,inherited from Leaflark,"Green beam, drains HP",reuses: Life Siphon
Thornraven,Final B,Grass/Dark,30,Umbral Rend,Dark,Phys,95,—,own,Dark swirl/drain,reuses: Nightmare Feast
Thornraven,Final B,Grass/Dark,34,Blade Ritual,Normal,Status,0,Raises Attack (self),own,Spinning blades around user,original
Thornraven,Final B,Grass/Dark,38,Sunray Blast,Grass,Spec,120,None (2-turn),own,"Charge glow, then beam",original
Bloomble,Base,Grass,1,Star Shower,Normal,Phys,60,None (never misses),own,Yellow stars fly,original
Bloomble,Base,Grass,1,Life Siphon,Grass,Spec,40,Heals user,own,"Green beam, drains HP",original
Bloomble,Base,Grass,5,Slash Strike,Normal,Phys,50,—,own,Slash lines,original
Bloomble,Base,Grass,9,Leaf Cutter,Grass,Spec,55,High crit rate,own,Slash lines,reuses: Slash Strike
Bloomble,Base,Grass,13,Spore Cloud,Grass,Status,0,Puts target to sleep,own,Green sparkle overlay,reuses: Warm Recovery
Mossmallow,Stage 2,Grass,1,Star Shower,Normal,Phys,60,None (never misses),inherited from Bloomble,Yellow stars fly,original
Mossmallow,Stage 2,Grass,1,Life Siphon,Grass,Spec,40,Heals user,inherited from Bloomble,"Green beam, drains HP",original
Mossmallow,Stage 2,Grass,5,Slash Strike,Normal,Phys,50,—,inherited from Bloomble,Slash lines,original
Mossmallow,Stage 2,Grass,9,Leaf Cutter,Grass,Spec,55,High crit rate,inherited from Bloomble,Slash lines,reuses: Slash Strike
Mossmallow,Stage 2,Grass,13,Spore Cloud,Grass,Status,0,Puts target to sleep,inherited from Bloomble,Green sparkle overlay,reuses: Warm Recovery
Mossmallow,Stage 2,Grass,17,Full Body Crash,Normal,Phys,85,Paralysis (30%),own,Generic hit flash,original
Mossmallow,Stage 2,Grass,21,Bramble Rend,Grass,Spec,80,—,own,"Charge, then blade slash",reuses: Wind Slicer
Mossmallow,Stage 2,Grass,25,Root Bind,Grass,Status,0,Sharply lowers Speed,own,"Green beam, drains HP",reuses: Life Siphon
Floraglee,Final A,Grass/Fairy,1,Star Shower,Normal,Phys,60,None (never misses),inherited from Bloomble,Yellow stars fly,original
Floraglee,Final A,Grass/Fairy,1,Life Siphon,Grass,Spec,40,Heals user,inherited from Bloomble,"Green beam, drains HP",original
Floraglee,Final A,Grass/Fairy,5,Slash Strike,Normal,Phys,50,—,inherited from Bloomble,Slash lines,original
Floraglee,Final A,Grass/Fairy,9,Leaf Cutter,Grass,Spec,55,High crit rate,inherited from Bloomble,Slash lines,reuses: Slash Strike
Floraglee,Final A,Grass/Fairy,13,Spore Cloud,Grass,Status,0,Puts target to sleep,inherited from Bloomble,Green sparkle overlay,reuses: Warm Recovery
Floraglee,Final A,Grass/Fairy,17,Full Body Crash,Normal,Phys,85,Paralysis (30%),inherited from Mossmallow,Generic hit flash,original
Floraglee,Final A,Grass/Fairy,21,Bramble Rend,Grass,Spec,80,—,inherited from Mossmallow,"Charge, then blade slash",reuses: Wind Slicer
Floraglee,Final A,Grass/Fairy,25,Root Bind,Grass,Status,0,Sharply lowers Speed,inherited from Mossmallow,"Green beam, drains HP",reuses: Life Siphon
Floraglee,Final A,Grass/Fairy,30,Lunar Burst,Fairy,Spec,95,Lowers Sp. Atk (30%),own,Pink lunar orb bursts,original
Floraglee,Final A,Grass/Fairy,34,Blade Ritual,Normal,Status,0,Raises Attack (self),own,Spinning blades around user,original
Floraglee,Final A,Grass/Fairy,38,Sunray Blast,Grass,Spec,120,None (2-turn),own,"Charge glow, then beam",original
Sporebog,Final B,Grass/Poison,1,Star Shower,Normal,Phys,60,None (never misses),inherited from Bloomble,Yellow stars fly,original
Sporebog,Final B,Grass/Poison,1,Life Siphon,Grass,Spec,40,Heals user,inherited from Bloomble,"Green beam, drains HP",original
Sporebog,Final B,Grass/Poison,5,Slash Strike,Normal,Phys,50,—,inherited from Bloomble,Slash lines,original
Sporebog,Final B,Grass/Poison,9,Leaf Cutter,Grass,Spec,55,High crit rate,inherited from Bloomble,Slash lines,reuses: Slash Strike
Sporebog,Final B,Grass/Poison,13,Spore Cloud,Grass,Status,0,Puts target to sleep,inherited from Bloomble,Green sparkle overlay,reuses: Warm Recovery
Sporebog,Final B,Grass/Poison,17,Full Body Crash,Normal,Phys,85,Paralysis (30%),inherited from Mossmallow,Generic hit flash,original
Sporebog,Final B,Grass/Poison,21,Bramble Rend,Grass,Spec,80,—,inherited from Mossmallow,"Charge, then blade slash",reuses: Wind Slicer
Sporebog,Final B,Grass/Poison,25,Root Bind,Grass,Status,0,Sharply lowers Speed,inherited from Mossmallow,"Green beam, drains HP",reuses: Life Siphon
Sporebog,Final B,Grass/Poison,30,Sludge Wave,Poison,Phys,90,30% poison,own,Purple splash overlay,reuses: Venom Curse
Sporebog,Final B,Grass/Poison,34,Blade Ritual,Normal,Status,0,Raises Attack (self),own,Spinning blades around user,original
Sporebog,Final B,Grass/Poison,38,Sunray Blast,Grass,Spec,120,None (2-turn),own,"Charge glow, then beam",original
Cherubick,Base,Fairy/Flying,1,Slash Strike,Normal,Phys,50,—,own,Slash lines,original
Cherubick,Base,Fairy/Flying,1,Glimmer Tap,Fairy,Spec,40,—,own,"Sparkling flash, wide-hit",reuses: Radiant Flash
Cherubick,Base,Fairy/Flying,5,Charm Ward,Fairy,Status,0,Sharply lowers Attack,own,Sparkle overlay,reuses: Mirror Act
Cherubick,Base,Fairy/Flying,9,Star Shower,Normal,Phys,60,None (never misses),own,Yellow stars fly,original
Cherubick,Base,Fairy/Flying,13,Coin Toss,Normal,Phys,40,—,own,Coins scatter,original
Halowing,Stage 2,Fairy/Flying,1,Slash Strike,Normal,Phys,50,—,inherited from Cherubick,Slash lines,original
Halowing,Stage 2,Fairy/Flying,1,Glimmer Tap,Fairy,Spec,40,—,inherited from Cherubick,"Sparkling flash, wide-hit",reuses: Radiant Flash
Halowing,Stage 2,Fairy/Flying,5,Charm Ward,Fairy,Status,0,Sharply lowers Attack,inherited from Cherubick,Sparkle overlay,reuses: Mirror Act
Halowing,Stage 2,Fairy/Flying,9,Star Shower,Normal,Phys,60,None (never misses),inherited from Cherubick,Yellow stars fly,original
Halowing,Stage 2,Fairy/Flying,13,Coin Toss,Normal,Phys,40,—,inherited from Cherubick,Coins scatter,original
Halowing,Stage 2,Fairy/Flying,17,Skyward Dive,Flying,Phys,70,None (2-turn),own,"Flies off, then dives",original
Halowing,Stage 2,Fairy/Flying,21,Radiant Flash,Fairy,Spec,80,—,own,"Sparkling flash, wide-hit",original
Halowing,Stage 2,Fairy/Flying,25,Blade Ritual,Normal,Status,0,Raises Attack (self),own,Spinning blades around user,original
Seraphlume,Final A,Fairy/Flying,1,Slash Strike,Normal,Phys,50,—,inherited from Cherubick,Slash lines,original
Seraphlume,Final A,Fairy/Flying,1,Glimmer Tap,Fairy,Spec,40,—,inherited from Cherubick,"Sparkling flash, wide-hit",reuses: Radiant Flash
Seraphlume,Final A,Fairy/Flying,5,Charm Ward,Fairy,Status,0,Sharply lowers Attack,inherited from Cherubick,Sparkle overlay,reuses: Mirror Act
Seraphlume,Final A,Fairy/Flying,9,Star Shower,Normal,Phys,60,None (never misses),inherited from Cherubick,Yellow stars fly,original
Seraphlume,Final A,Fairy/Flying,13,Coin Toss,Normal,Phys,40,—,inherited from Cherubick,Coins scatter,original
Seraphlume,Final A,Fairy/Flying,17,Skyward Dive,Flying,Phys,70,None (2-turn),inherited from Halowing,"Flies off, then dives",original
Seraphlume,Final A,Fairy/Flying,21,Radiant Flash,Fairy,Spec,80,—,inherited from Halowing,"Sparkling flash, wide-hit",original
Seraphlume,Final A,Fairy/Flying,25,Blade Ritual,Normal,Status,0,Raises Attack (self),inherited from Halowing,Spinning blades around user,original
Seraphlume,Final A,Fairy/Flying,30,Dive Bomb,Flying,Phys,140,None (2-turn),own,"Charge, then diving hit",original
Seraphlume,Final A,Fairy/Flying,34,Crushing Kick,Normal,Phys,120,—,own,Generic hit flash,original
Seraphlume,Final A,Fairy/Flying,38,Lunar Burst,Fairy,Spec,95,Lowers Sp. Atk (30%),own,Pink lunar orb bursts,original
Duskrael,Final B,Dark/Flying,1,Slash Strike,Normal,Phys,50,—,inherited from Cherubick,Slash lines,original
Duskrael,Final B,Dark/Flying,1,Glimmer Tap,Fairy,Spec,40,—,inherited from Cherubick,"Sparkling flash, wide-hit",reuses: Radiant Flash
Duskrael,Final B,Dark/Flying,5,Charm Ward,Fairy,Status,0,Sharply lowers Attack,inherited from Cherubick,Sparkle overlay,reuses: Mirror Act
Duskrael,Final B,Dark/Flying,9,Star Shower,Normal,Phys,60,None (never misses),inherited from Cherubick,Yellow stars fly,original
Duskrael,Final B,Dark/Flying,13,Coin Toss,Normal,Phys,40,—,inherited from Cherubick,Coins scatter,original
Duskrael,Final B,Dark/Flying,17,Skyward Dive,Flying,Phys,70,None (2-turn),inherited from Halowing,"Flies off, then dives",original
Duskrael,Final B,Dark/Flying,21,Radiant Flash,Fairy,Spec,80,—,inherited from Halowing,"Sparkling flash, wide-hit",original
Duskrael,Final B,Dark/Flying,25,Blade Ritual,Normal,Status,0,Raises Attack (self),inherited from Halowing,Spinning blades around user,original
Duskrael,Final B,Dark/Flying,30,Dive Bomb,Flying,Phys,140,None (2-turn),own,"Charge, then diving hit",original
Duskrael,Final B,Dark/Flying,34,Crushing Kick,Normal,Phys,120,—,own,Generic hit flash,original
Duskrael,Final B,Dark/Flying,38,Umbral Rend,Dark,Phys,95,—,own,Dark swirl/drain,reuses: Nightmare Feast
Shellot,Base,Normal,1,Coin Toss,Normal,Phys,40,—,own,Coins scatter,original
Shellot,Base,Normal,1,Slash Strike,Normal,Phys,50,—,own,Slash lines,original
Shellot,Base,Normal,5,Blade Ritual,Normal,Status,0,Raises Attack (self),own,Spinning blades around user,original
Shellot,Base,Normal,9,Star Shower,Normal,Phys,60,None (never misses),own,Yellow stars fly,original
Shellot,Base,Normal,13,Afterimage,Normal,Status,0,Raises evasion,own,Afterimage flicker,original
Shellark,Stage 2,Flying,1,Coin Toss,Normal,Phys,40,—,inherited from Shellot,Coins scatter,original
Shellark,Stage 2,Flying,1,Slash Strike,Normal,Phys,50,—,inherited from Shellot,Slash lines,original
Shellark,Stage 2,Flying,5,Blade Ritual,Normal,Status,0,Raises Attack (self),inherited from Shellot,Spinning blades around user,original
Shellark,Stage 2,Flying,9,Star Shower,Normal,Phys,60,None (never misses),inherited from Shellot,Yellow stars fly,original
Shellark,Stage 2,Flying,13,Afterimage,Normal,Status,0,Raises evasion,inherited from Shellot,Afterimage flicker,original
Shellark,Stage 2,Flying,17,Full Body Crash,Normal,Phys,85,Paralysis (30%),own,Generic hit flash,original
Shellark,Stage 2,Flying,21,Skyward Dive,Flying,Phys,70,None (2-turn),own,"Flies off, then dives",original
Shellark,Stage 2,Flying,25,Updraft,Flying,Status,0,Raises Speed,own,Afterimage flicker,reuses: Afterimage
Solroost,Final A,Fire/Flying,1,Coin Toss,Normal,Phys,40,—,inherited from Shellot,Coins scatter,original
Solroost,Final A,Fire/Flying,1,Slash Strike,Normal,Phys,50,—,inherited from Shellot,Slash lines,original
Solroost,Final A,Fire/Flying,5,Blade Ritual,Normal,Status,0,Raises Attack (self),inherited from Shellot,Spinning blades around user,original
Solroost,Final A,Fire/Flying,9,Star Shower,Normal,Phys,60,None (never misses),inherited from Shellot,Yellow stars fly,original
Solroost,Final A,Fire/Flying,13,Afterimage,Normal,Status,0,Raises evasion,inherited from Shellot,Afterimage flicker,original
Solroost,Final A,Fire/Flying,17,Full Body Crash,Normal,Phys,85,Paralysis (30%),inherited from Shellark,Generic hit flash,original
Solroost,Final A,Fire/Flying,21,Skyward Dive,Flying,Phys,70,None (2-turn),inherited from Shellark,"Flies off, then dives",original
Solroost,Final A,Fire/Flying,25,Updraft,Flying,Status,0,Raises Speed,inherited from Shellark,Afterimage flicker,reuses: Afterimage
Solroost,Final A,Fire/Flying,30,Dive Bomb,Flying,Phys,140,None (2-turn),own,"Charge, then diving hit",original
Solroost,Final A,Fire/Flying,34,Cinder Veil,Fire,Status,0,Raises Special,own,Sparkle overlay,reuses: Mirror Act
Solroost,Final A,Fire/Flying,38,Inferno Burst,Fire,Spec,110,Burn (10%),own,Large flame burst,original
Lunowl,Final B,Ice/Flying,1,Coin Toss,Normal,Phys,40,—,inherited from Shellot,Coins scatter,original
Lunowl,Final B,Ice/Flying,1,Slash Strike,Normal,Phys,50,—,inherited from Shellot,Slash lines,original
Lunowl,Final B,Ice/Flying,5,Blade Ritual,Normal,Status,0,Raises Attack (self),inherited from Shellot,Spinning blades around user,original
Lunowl,Final B,Ice/Flying,9,Star Shower,Normal,Phys,60,None (never misses),inherited from Shellot,Yellow stars fly,original
Lunowl,Final B,Ice/Flying,13,Afterimage,Normal,Status,0,Raises evasion,inherited from Shellot,Afterimage flicker,original
Lunowl,Final B,Ice/Flying,17,Full Body Crash,Normal,Phys,85,Paralysis (30%),inherited from Shellark,Generic hit flash,original
Lunowl,Final B,Ice/Flying,21,Skyward Dive,Flying,Phys,70,None (2-turn),inherited from Shellark,"Flies off, then dives",original
Lunowl,Final B,Ice/Flying,25,Updraft,Flying,Status,0,Raises Speed,inherited from Shellark,Afterimage flicker,reuses: Afterimage
Lunowl,Final B,Ice/Flying,30,Dive Bomb,Flying,Phys,140,None (2-turn),own,"Charge, then diving hit",original
Lunowl,Final B,Ice/Flying,34,Frost Veil,Ice,Status,0,Raises Defense,own,Blue shimmer barrier,reuses: Barrier Ward
Lunowl,Final B,Ice/Flying,38,Frost Ray,Ice,Spec,95,Freeze (10%),own,Beam + freeze sparkle,original
Roswyrm,Base,Water,1,Star Shower,Normal,Phys,60,None (never misses),own,Yellow stars fly,original
Roswyrm,Base,Water,1,Water Splash,Water,Spec,40,—,own,Water jet,original
Roswyrm,Base,Water,5,Mist Shroud,Water,Status,0,Raises evasion,own,Afterimage flicker,reuses: Afterimage
Roswyrm,Base,Water,9,Bubble Burst,Water,Spec,65,Lowers Speed (10%),own,Bubbles stream,original
Roswyrm,Base,Water,13,Slash Strike,Normal,Phys,50,—,own,Slash lines,original
Roscale,Stage 2,Water/Dragon,1,Star Shower,Normal,Phys,60,None (never misses),inherited from Roswyrm,Yellow stars fly,original
Roscale,Stage 2,Water/Dragon,1,Water Splash,Water,Spec,40,—,inherited from Roswyrm,Water jet,original
Roscale,Stage 2,Water/Dragon,5,Mist Shroud,Water,Status,0,Raises evasion,inherited from Roswyrm,Afterimage flicker,reuses: Afterimage
Roscale,Stage 2,Water/Dragon,9,Bubble Burst,Water,Spec,65,Lowers Speed (10%),inherited from Roswyrm,Bubbles stream,original
Roscale,Stage 2,Water/Dragon,13,Slash Strike,Normal,Phys,50,—,inherited from Roswyrm,Slash lines,original
Roscale,Stage 2,Water/Dragon,17,Scale Ripple,Dragon,Spec,60,—,own,Orange spiral blast,reuses: Draconic Burst
Roscale,Stage 2,Water/Dragon,21,Torrent Fang,Water,Spec,80,—,own,Water jet,reuses: Water Splash
Roscale,Stage 2,Water/Dragon,25,Blade Ritual,Normal,Status,0,Raises Attack (self),own,Spinning blades around user,original
Pearleserp,Final A,Water/Fairy,1,Star Shower,Normal,Phys,60,None (never misses),inherited from Roswyrm,Yellow stars fly,original
Pearleserp,Final A,Water/Fairy,1,Water Splash,Water,Spec,40,—,inherited from Roswyrm,Water jet,original
Pearleserp,Final A,Water/Fairy,5,Mist Shroud,Water,Status,0,Raises evasion,inherited from Roswyrm,Afterimage flicker,reuses: Afterimage
Pearleserp,Final A,Water/Fairy,9,Bubble Burst,Water,Spec,65,Lowers Speed (10%),inherited from Roswyrm,Bubbles stream,original
Pearleserp,Final A,Water/Fairy,13,Slash Strike,Normal,Phys,50,—,inherited from Roswyrm,Slash lines,original
Pearleserp,Final A,Water/Fairy,17,Scale Ripple,Dragon,Spec,60,—,inherited from Roscale,Orange spiral blast,reuses: Draconic Burst
Pearleserp,Final A,Water/Fairy,21,Torrent Fang,Water,Spec,80,—,inherited from Roscale,Water jet,reuses: Water Splash
Pearleserp,Final A,Water/Fairy,25,Blade Ritual,Normal,Status,0,Raises Attack (self),inherited from Roscale,Spinning blades around user,original
Pearleserp,Final A,Water/Fairy,30,Lunar Burst,Fairy,Spec,95,Lowers Sp. Atk (30%),own,Pink lunar orb bursts,original
Pearleserp,Final A,Water/Fairy,34,Afterimage,Normal,Status,0,Raises evasion,own,Afterimage flicker,original
Pearleserp,Final A,Water/Fairy,38,Tidal Wave,Water,Spec,95,—,own,Large wave washes over,original
Venomare,Final B,Water/Poison,1,Star Shower,Normal,Phys,60,None (never misses),inherited from Roswyrm,Yellow stars fly,original
Venomare,Final B,Water/Poison,1,Water Splash,Water,Spec,40,—,inherited from Roswyrm,Water jet,original
Venomare,Final B,Water/Poison,5,Mist Shroud,Water,Status,0,Raises evasion,inherited from Roswyrm,Afterimage flicker,reuses: Afterimage
Venomare,Final B,Water/Poison,9,Bubble Burst,Water,Spec,65,Lowers Speed (10%),inherited from Roswyrm,Bubbles stream,original
Venomare,Final B,Water/Poison,13,Slash Strike,Normal,Phys,50,—,inherited from Roswyrm,Slash lines,original
Venomare,Final B,Water/Poison,17,Scale Ripple,Dragon,Spec,60,—,inherited from Roscale,Orange spiral blast,reuses: Draconic Burst
Venomare,Final B,Water/Poison,21,Torrent Fang,Water,Spec,80,—,inherited from Roscale,Water jet,reuses: Water Splash
Venomare,Final B,Water/Poison,25,Blade Ritual,Normal,Status,0,Raises Attack (self),inherited from Roscale,Spinning blades around user,original
Venomare,Final B,Water/Poison,30,Sludge Wave,Poison,Phys,90,30% poison,own,Purple splash overlay,reuses: Venom Curse
Venomare,Final B,Water/Poison,34,Afterimage,Normal,Status,0,Raises evasion,own,Afterimage flicker,original
Venomare,Final B,Water/Poison,38,Tidal Wave,Water,Spec,95,—,own,Large wave washes over,original
Dottella,Base,Bug,1,Slash Strike,Normal,Phys,50,—,own,Slash lines,original
Dottella,Base,Bug,1,Pincer Nip,Bug,Phys,45,—,own,Generic hit flash,reuses: Power Jab
Dottella,Base,Bug,5,Silk Snare,Bug,Status,0,Sharply lowers Speed,own,Sparkle overlay,reuses: Mirror Act
Dottella,Base,Bug,9,Star Shower,Normal,Phys,60,None (never misses),own,Yellow stars fly,original
Dottella,Base,Bug,13,Coin Toss,Normal,Phys,40,—,own,Coins scatter,original
Carapotta,Stage 2,Bug,1,Slash Strike,Normal,Phys,50,—,inherited from Dottella,Slash lines,original
Carapotta,Stage 2,Bug,1,Pincer Nip,Bug,Phys,45,—,inherited from Dottella,Generic hit flash,reuses: Power Jab
Carapotta,Stage 2,Bug,5,Silk Snare,Bug,Status,0,Sharply lowers Speed,inherited from Dottella,Sparkle overlay,reuses: Mirror Act
Carapotta,Stage 2,Bug,9,Star Shower,Normal,Phys,60,None (never misses),inherited from Dottella,Yellow stars fly,original
Carapotta,Stage 2,Bug,13,Coin Toss,Normal,Phys,40,—,inherited from Dottella,Coins scatter,original
Carapotta,Stage 2,Bug,17,Full Body Crash,Normal,Phys,85,Paralysis (30%),own,Generic hit flash,original
Carapotta,Stage 2,Bug,21,Swarm Strike,Bug,Phys,70,—,own,Yellow stars fly,reuses: Star Shower
Carapotta,Stage 2,Bug,25,Blade Ritual,Normal,Status,0,Raises Attack (self),own,Spinning blades around user,original
Aegibug,Final A,Bug/Steel,1,Slash Strike,Normal,Phys,50,—,inherited from Dottella,Slash lines,original
Aegibug,Final A,Bug/Steel,1,Pincer Nip,Bug,Phys,45,—,inherited from Dottella,Generic hit flash,reuses: Power Jab
Aegibug,Final A,Bug/Steel,5,Silk Snare,Bug,Status,0,Sharply lowers Speed,inherited from Dottella,Sparkle overlay,reuses: Mirror Act
Aegibug,Final A,Bug/Steel,9,Star Shower,Normal,Phys,60,None (never misses),inherited from Dottella,Yellow stars fly,original
Aegibug,Final A,Bug/Steel,13,Coin Toss,Normal,Phys,40,—,inherited from Dottella,Coins scatter,original
Aegibug,Final A,Bug/Steel,17,Full Body Crash,Normal,Phys,85,Paralysis (30%),inherited from Carapotta,Generic hit flash,original
Aegibug,Final A,Bug/Steel,21,Swarm Strike,Bug,Phys,70,—,inherited from Carapotta,Yellow stars fly,reuses: Star Shower
Aegibug,Final A,Bug/Steel,25,Blade Ritual,Normal,Status,0,Raises Attack (self),inherited from Carapotta,Spinning blades around user,original
Aegibug,Final A,Bug/Steel,30,Forge Strike,Steel,Phys,100,—,own,"Charge, then blade slash",reuses: Wind Slicer
Aegibug,Final A,Bug/Steel,34,Crushing Kick,Normal,Phys,120,—,own,Generic hit flash,original
Aegibug,Final A,Bug/Steel,38,Hive Fury,Bug,Phys,95,20% flinch,own,"Drill spiral, screen shake",reuses: Piercing Spiral
Magmara,Final B,Bug/Fire,1,Slash Strike,Normal,Phys,50,—,inherited from Dottella,Slash lines,original
Magmara,Final B,Bug/Fire,1,Pincer Nip,Bug,Phys,45,—,inherited from Dottella,Generic hit flash,reuses: Power Jab
Magmara,Final B,Bug/Fire,5,Silk Snare,Bug,Status,0,Sharply lowers Speed,inherited from Dottella,Sparkle overlay,reuses: Mirror Act
Magmara,Final B,Bug/Fire,9,Star Shower,Normal,Phys,60,None (never misses),inherited from Dottella,Yellow stars fly,original
Magmara,Final B,Bug/Fire,13,Coin Toss,Normal,Phys,40,—,inherited from Dottella,Coins scatter,original
Magmara,Final B,Bug/Fire,17,Full Body Crash,Normal,Phys,85,Paralysis (30%),inherited from Carapotta,Generic hit flash,original
Magmara,Final B,Bug/Fire,21,Swarm Strike,Bug,Phys,70,—,inherited from Carapotta,Yellow stars fly,reuses: Star Shower
Magmara,Final B,Bug/Fire,25,Blade Ritual,Normal,Status,0,Raises Attack (self),inherited from Carapotta,Spinning blades around user,original
Magmara,Final B,Bug/Fire,30,Inferno Burst,Fire,Spec,110,Burn (10%),own,Large flame burst,original
Magmara,Final B,Bug/Fire,34,Crushing Kick,Normal,Phys,120,—,own,Generic hit flash,original
Magmara,Final B,Bug/Fire,38,Hive Fury,Bug,Phys,95,20% flinch,own,"Drill spiral, screen shake",reuses: Piercing Spiral
Pinchitin,Base,Bug,1,Coin Toss,Normal,Phys,40,—,own,Coins scatter,original
Pinchitin,Base,Bug,1,Pincer Nip,Bug,Phys,45,—,own,Generic hit flash,reuses: Power Jab
Pinchitin,Base,Bug,5,Silk Snare,Bug,Status,0,Sharply lowers Speed,own,Sparkle overlay,reuses: Mirror Act
Pinchitin,Base,Bug,9,Star Shower,Normal,Phys,60,None (never misses),own,Yellow stars fly,original
Pinchitin,Base,Bug,13,Slash Strike,Normal,Phys,50,—,own,Slash lines,original
Clamptera,Stage 2,Bug,1,Coin Toss,Normal,Phys,40,—,inherited from Pinchitin,Coins scatter,original
Clamptera,Stage 2,Bug,1,Pincer Nip,Bug,Phys,45,—,inherited from Pinchitin,Generic hit flash,reuses: Power Jab
Clamptera,Stage 2,Bug,5,Silk Snare,Bug,Status,0,Sharply lowers Speed,inherited from Pinchitin,Sparkle overlay,reuses: Mirror Act
Clamptera,Stage 2,Bug,9,Star Shower,Normal,Phys,60,None (never misses),inherited from Pinchitin,Yellow stars fly,original
Clamptera,Stage 2,Bug,13,Slash Strike,Normal,Phys,50,—,inherited from Pinchitin,Slash lines,original
Clamptera,Stage 2,Bug,17,Full Body Crash,Normal,Phys,85,Paralysis (30%),own,Generic hit flash,original
Clamptera,Stage 2,Bug,21,Swarm Strike,Bug,Phys,70,—,own,Yellow stars fly,reuses: Star Shower
Clamptera,Stage 2,Bug,25,Blade Ritual,Normal,Status,0,Raises Attack (self),own,Spinning blades around user,original
Ferraclaw,Final A,Bug/Steel,1,Coin Toss,Normal,Phys,40,—,inherited from Pinchitin,Coins scatter,original
Ferraclaw,Final A,Bug/Steel,1,Pincer Nip,Bug,Phys,45,—,inherited from Pinchitin,Generic hit flash,reuses: Power Jab
Ferraclaw,Final A,Bug/Steel,5,Silk Snare,Bug,Status,0,Sharply lowers Speed,inherited from Pinchitin,Sparkle overlay,reuses: Mirror Act
Ferraclaw,Final A,Bug/Steel,9,Star Shower,Normal,Phys,60,None (never misses),inherited from Pinchitin,Yellow stars fly,original
Ferraclaw,Final A,Bug/Steel,13,Slash Strike,Normal,Phys,50,—,inherited from Pinchitin,Slash lines,original
Ferraclaw,Final A,Bug/Steel,17,Full Body Crash,Normal,Phys,85,Paralysis (30%),inherited from Clamptera,Generic hit flash,original
Ferraclaw,Final A,Bug/Steel,21,Swarm Strike,Bug,Phys,70,—,inherited from Clamptera,Yellow stars fly,reuses: Star Shower
Ferraclaw,Final A,Bug/Steel,25,Blade Ritual,Normal,Status,0,Raises Attack (self),inherited from Clamptera,Spinning blades around user,original
Ferraclaw,Final A,Bug/Steel,30,Forge Strike,Steel,Phys,100,—,own,"Charge, then blade slash",reuses: Wind Slicer
Ferraclaw,Final A,Bug/Steel,34,Afterimage,Normal,Status,0,Raises evasion,own,Afterimage flicker,original
Ferraclaw,Final A,Bug/Steel,38,Hive Fury,Bug,Phys,95,20% flinch,own,"Drill spiral, screen shake",reuses: Piercing Spiral
